"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2865","Créationnisme dans une revue scientifique : @PLOSONE et la main du Créateur https://t.co/lS6xbjakr4",FALSE,2,NA,2016-03-03 07:14:30,FALSE,NA,"705290234490195968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mart1oeil",2,FALSE,FALSE,NA,NA
"2866","RT @CT_Bergstrom: Everyone is shocked that the creationist #HandOfGod paper got into  @PLOSOne. It happens more often then you think: https…",FALSE,0,NA,2016-03-03 07:10:44,FALSE,NA,"705289287336644608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thijsjanzen",15,TRUE,FALSE,NA,NA
"2867","RT @PLOSONE: PLOS ONE editors apologize that language wasn't addressed pre-publication. We're looking into concerns w/ priority. https://t.…",FALSE,0,NA,2016-03-03 07:09:19,FALSE,NA,"705288931135377408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maelanfontes",100,TRUE,FALSE,NA,NA
"2868","RT @HochTwit: The Creator appears to have achieved the proper design FOLLOWING evolution @PLOSONE https://t.co/7Bhdr9rfa7 https://t.co/ZDRI…",FALSE,0,NA,2016-03-03 07:01:03,FALSE,NA,"705286852434116608",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jessieabbate",8,TRUE,FALSE,NA,NA
"2869","@GrunerDaniel @PLOSONE Yes so did I - there was me thinking rigour was their only criterion.....",FALSE,0,"GrunerDaniel",2016-03-03 06:52:59,FALSE,"705168890716942336","705284820016963584","870421902","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","james_gilbert",0,FALSE,FALSE,NA,NA
"2870","Wow. Embarrassed to be @PLOSONE author, reviewer. Just got new request to review, will decline if this not retracted https://t.co/oglzW3JHAa",FALSE,0,NA,2016-03-03 06:51:35,FALSE,NA,"705284467259125760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rewberl",0,FALSE,FALSE,NA,NA
"2871","RT @RosieWoodroffe: Holy moley! @PLoSONE the ""S"" still stands for ""science""...! https://t.co/y7Va1HUGwd",FALSE,0,NA,2016-03-03 06:46:39,FALSE,NA,"705283227280404480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","systems4food",3,TRUE,FALSE,NA,NA
"2872","RT @PLOSONE: PLOS ONE editors apologize that language wasn't addressed pre-publication. We're looking into concerns w/ priority. https://t.…",FALSE,0,NA,2016-03-03 06:45:42,FALSE,NA,"705282986602790912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SebbyRust",100,TRUE,FALSE,NA,NA
"2873","RT @tiagopeixoto: Creationist paper in @PLOSONE. Sloppy and shameful. Nonexistent peer review and editing... https://t.co/cvr3eiBGyI",FALSE,0,NA,2016-03-03 06:41:13,FALSE,NA,"705281857898876932",NA,"<a href=""http://www.labnol.org/internet/write-twitter-bot/27902/#free"" rel=""nofollow"">PeerReviewBot</a>","Peer__Reviewer",10,TRUE,FALSE,NA,NA
"2874","Holy moley! @PLoSONE the ""S"" still stands for ""science""...! https://t.co/y7Va1HUGwd",FALSE,2,NA,2016-03-03 06:39:13,FALSE,NA,"705281354423001088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RosieWoodroffe",3,FALSE,FALSE,NA,NA
