"","source","hour","mean"
"185","#HandOfGod","2016-03-06 03:00:00",0.5
"186","#HandOfGod","2016-03-06 04:00:00",-0.823529411764706
"187","#HandOfGod","2016-03-06 05:00:00",-1.25
"188","#HandOfGod","2016-03-06 06:00:00",-0.461538461538462
"189","#HandOfGod","2016-03-06 07:00:00",-1.06666666666667
"190","#HandOfGod","2016-03-06 08:00:00",-1.22222222222222
"191","#HandOfGod","2016-03-06 09:00:00",-1
"192","#HandOfGod","2016-03-06 10:00:00",-1
"193","#HandOfGod","2016-03-06 11:00:00",-0.666666666666667
"194","#HandOfGod","2016-03-06 12:00:00",-0.875
"195","#HandOfGod","2016-03-06 13:00:00",-0.571428571428571
"196","#HandOfGod","2016-03-06 14:00:00",-0.714285714285714
"197","#HandOfGod","2016-03-06 15:00:00",-0.1875
"198","#HandOfGod","2016-03-06 16:00:00",-0.3125
"199","#HandOfGod","2016-03-06 17:00:00",-0.555555555555556
"200","#HandOfGod","2016-03-06 18:00:00",-0.25
"201","#HandOfGod","2016-03-06 19:00:00",0
"202","#HandOfGod","2016-03-06 20:00:00",-0.333333333333333
"203","#HandOfGod","2016-03-06 21:00:00",-0.2
"204","#HandOfGod","2016-03-06 22:00:00",-0.8
"205","#HandOfGod","2016-03-06 23:00:00",-0.25
"206","#HandOfGod","2016-03-07 00:00:00",-0.333333333333333
"207","#HandOfGod","2016-03-07 01:00:00",0.285714285714286
"208","#HandOfGod","2016-03-07 02:00:00",-0.25
"209","#HandOfGod","2016-03-07 03:00:00",0
"210","#HandOfGod","2016-03-07 04:00:00",1
"211","#HandOfGod","2016-03-07 05:00:00",-1
"212","#HandOfGod","2016-03-07 06:00:00",-0.5
"213","#HandOfGod","2016-03-07 07:00:00",-0.833333333333333
"214","#HandOfGod","2016-03-07 08:00:00",-0.111111111111111
"215","#HandOfGod","2016-03-07 09:00:00",-0.714285714285714
"216","#HandOfGod","2016-03-07 10:00:00",0.4
"217","#HandOfGod","2016-03-07 11:00:00",0
"218","#HandOfGod","2016-03-07 12:00:00",0
"219","#HandOfGod","2016-03-07 13:00:00",-0.0714285714285714
"220","#HandOfGod","2016-03-07 14:00:00",-0.078740157480315
"221","#HandOfGod","2016-03-07 15:00:00",-0.0263157894736842
"222","#HandOfGod","2016-03-07 16:00:00",0
"223","#HandOfGod","2016-03-07 17:00:00",0.0434782608695652
"224","#HandOfGod","2016-03-07 18:00:00",-0.666666666666667
"225","#HandOfGod","2016-03-07 19:00:00",-0.4
"226","#HandOfGod","2016-03-07 20:00:00",-0.0714285714285714
"227","#HandOfGod","2016-03-07 21:00:00",-0.733333333333333
"228","#HandOfGod","2016-03-07 22:00:00",-0.111111111111111
"229","#HandOfGod","2016-03-07 23:00:00",-0.666666666666667
"230","#HandOfGod","2016-03-08 00:00:00",-1
"231","#HandOfGod","2016-03-08 01:00:00",-0.833333333333333
"232","#HandOfGod","2016-03-08 02:00:00",-0.0769230769230769
"233","#HandOfGod","2016-03-08 03:00:00",0.4
"234","#HandOfGod","2016-03-08 04:00:00",-0.666666666666667
"235","#HandOfGod","2016-03-08 05:00:00",-1
"236","#HandOfGod","2016-03-08 06:00:00",0
"237","#HandOfGod","2016-03-08 07:00:00",-0.666666666666667
"238","#HandOfGod","2016-03-08 08:00:00",-0.5
"239","#HandOfGod","2016-03-08 09:00:00",-0.727272727272727
"240","#HandOfGod","2016-03-08 10:00:00",-0.7
"241","#HandOfGod","2016-03-08 11:00:00",-0.75
"242","#HandOfGod","2016-03-08 12:00:00",-0.866666666666667
"243","#HandOfGod","2016-03-08 13:00:00",0
"244","#HandOfGod","2016-03-08 14:00:00",-0.846153846153846
"245","#HandOfGod","2016-03-08 15:00:00",-0.96078431372549
"246","#HandOfGod","2016-03-08 16:00:00",-0.5
"247","#HandOfGod","2016-03-08 17:00:00",-0.5
"248","#HandOfGod","2016-03-08 18:00:00",-0.4
"249","#HandOfGod","2016-03-08 19:00:00",-0.0666666666666667
"250","#HandOfGod","2016-03-08 20:00:00",-0.555555555555556
"251","#HandOfGod","2016-03-08 21:00:00",-0.25
"252","#HandOfGod","2016-03-08 22:00:00",-1
"253","#HandOfGod","2016-03-08 23:00:00",0
"254","#HandOfGod","2016-03-09 00:00:00",-0.5
"255","#HandOfGod","2016-03-09 01:00:00",-0.25
"256","#HandOfGod","2016-03-09 02:00:00",-1
"257","#HandOfGod","2016-03-09 03:00:00",-1
"258","#HandOfGod","2016-03-09 04:00:00",0
"259","#HandOfGod","2016-03-09 05:00:00",-1.4
"260","#HandOfGod","2016-03-09 07:00:00",0
"261","#HandOfGod","2016-03-09 08:00:00",1
"262","#HandOfGod","2016-03-09 09:00:00",-0.666666666666667
"263","#HandOfGod","2016-03-09 10:00:00",-1
"264","#HandOfGod","2016-03-09 11:00:00",1
"265","#HandOfGod","2016-03-09 12:00:00",-1
"266","#HandOfGod","2016-03-09 13:00:00",-1
"267","#HandOfGod","2016-03-09 14:00:00",0
"268","#HandOfGod","2016-03-09 15:00:00",-0.2
"269","#HandOfGod","2016-03-09 16:00:00",-0.333333333333333
"270","#HandOfGod","2016-03-09 17:00:00",-1
"271","#HandOfGod","2016-03-09 18:00:00",0
"272","#HandOfGod","2016-03-09 19:00:00",0
"273","#HandOfGod","2016-03-09 20:00:00",0.166666666666667
"274","#HandOfGod","2016-03-09 21:00:00",-0.6
"275","#HandOfGod","2016-03-09 22:00:00",-1
"276","#HandOfGod","2016-03-10 00:00:00",-0.666666666666667
"277","#HandOfGod","2016-03-10 01:00:00",0
"278","#HandOfGod","2016-03-10 02:00:00",0
"279","#HandOfGod","2016-03-10 03:00:00",-0.166666666666667
"280","#HandOfGod","2016-03-10 04:00:00",0
"281","#HandOfGod","2016-03-10 05:00:00",0
"282","#HandOfGod","2016-03-10 06:00:00",0
"283","#HandOfGod","2016-03-10 07:00:00",-0.333333333333333
"284","#HandOfGod","2016-03-10 08:00:00",0
"285","#HandOfGod","2016-03-10 09:00:00",-0.333333333333333
"286","#HandOfGod","2016-03-10 10:00:00",0.666666666666667
"287","#HandOfGod","2016-03-10 11:00:00",0.375
"288","#HandOfGod","2016-03-10 12:00:00",0.5
"289","#HandOfGod","2016-03-10 13:00:00",2
"290","#HandOfGod","2016-03-10 14:00:00",0.428571428571429
"291","#HandOfGod","2016-03-10 15:00:00",-0.6
"292","#HandOfGod","2016-03-10 16:00:00",0.4
"293","#HandOfGod","2016-03-10 17:00:00",0.142857142857143
"294","#HandOfGod","2016-03-10 18:00:00",-0.333333333333333
"295","#HandOfGod","2016-03-10 19:00:00",0
"296","#HandOfGod","2016-03-10 20:00:00",0.526315789473684
"297","#HandOfGod","2016-03-10 21:00:00",0.548387096774194
"298","#HandOfGod","2016-03-10 22:00:00",-0.333333333333333
"299","#HandOfGod","2016-03-10 23:00:00",0
"300","#HandOfGod","2016-03-11 00:00:00",1.33333333333333
"301","#HandOfGod","2016-03-11 02:00:00",0.5
"302","#HandOfGod","2016-03-11 03:00:00",0
"303","#HandOfGod","2016-03-11 04:00:00",0
"304","#HandOfGod","2016-03-11 05:00:00",0.4
"305","#HandOfGod","2016-03-11 06:00:00",0
"306","#HandOfGod","2016-03-11 07:00:00",0
"307","#HandOfGod","2016-03-11 08:00:00",0.333333333333333
"308","#HandOfGod","2016-03-11 10:00:00",-1
"309","#HandOfGod","2016-03-11 11:00:00",0
"310","#HandOfGod","2016-03-11 12:00:00",0
"311","#HandOfGod","2016-03-11 13:00:00",-0.333333333333333
"312","#HandOfGod","2016-03-11 14:00:00",2
"313","#HandOfGod","2016-03-11 15:00:00",-0.222222222222222
"314","#HandOfGod","2016-03-11 16:00:00",-0.833333333333333
"315","#HandOfGod","2016-03-11 18:00:00",0.333333333333333
"316","#HandOfGod","2016-03-11 19:00:00",0
"317","#HandOfGod","2016-03-11 20:00:00",0
"318","#HandOfGod","2016-03-11 22:00:00",0
"319","#HandOfGod","2016-03-11 23:00:00",5
"320","#HandOfGod","2016-03-12 00:00:00",0
"321","#HandOfGod","2016-03-12 02:00:00",0.333333333333333
"322","#HandOfGod","2016-03-12 04:00:00",-1
"323","#HandOfGod","2016-03-12 05:00:00",0
"324","#HandOfGod","2016-03-12 07:00:00",2
"325","#HandOfGod","2016-03-12 08:00:00",-0.2
"326","#HandOfGod","2016-03-12 10:00:00",-1
"327","#HandOfGod","2016-03-12 12:00:00",1
"328","#HandOfGod","2016-03-12 13:00:00",0
"329","#HandOfGod","2016-03-12 14:00:00",0.333333333333333
"330","#HandOfGod","2016-03-12 15:00:00",0.8
"331","#HandOfGod","2016-03-12 16:00:00",1
"332","#HandOfGod","2016-03-12 17:00:00",1
"333","#HandOfGod","2016-03-12 21:00:00",1
"334","#HandOfGod","2016-03-12 22:00:00",-0.333333333333333
"335","#HandOfGod","2016-03-12 23:00:00",-0.6
"336","#HandOfGod","2016-03-13 00:00:00",0
"337","#HandOfGod","2016-03-13 01:00:00",3
"338","#HandOfGod","2016-03-13 05:00:00",0
"339","#HandOfGod","2016-03-13 07:00:00",0.5
"340","#HandOfGod","2016-03-13 08:00:00",0.5
"341","#HandOfGod","2016-03-13 10:00:00",-0.333333333333333
"342","#HandOfGod","2016-03-13 12:00:00",-1
"343","#HandOfGod","2016-03-13 13:00:00",0.25
"344","#HandOfGod","2016-03-13 16:00:00",-0.5
